year,chron,tmean.july,tmin.july,tmax.july,ppt.july,pdsi.aug,tmean.jjas,tmin.jjas,tmax.jjas,ppt. jja,pdsi.mjja
1686,1.033,,,,,,,,,,
1687,1.002,,,,,,,,,,
1688,1.011,,,,,,,,,,
1689,1.013,,,,,,,,,,
1690,0.898,,,,,,,,,,
1691,0.901,,,,,,,,,,
1692,0.85,,,,,,,,,,
1693,0.962,,,,,,,,,,
1694,0.961,,,,,,,,,,
1695,0.983,,,,,,,,,,
1696,0.937,,,,,,,,,,
1697,1.074,,,,,,,,,,
1698,0.936,,,,,,,,,,
1699,0.919,,,,,,,,,,
1700,0.827,,,,,,,,,,
1701,1.096,,,,,,,,,,
1702,1.03,,,,,,,,,,
1703,0.879,,,,,,,,,,
1704,1.03,,,,,,,,,,
1705,0.967,,,,,,,,,,
1706,0.973,,,,,,,,,,
1707,1.071,,,,,,,,,,
1708,0.628,,,,,,,,,,
1709,1.116,,,,,,,,,,
1710,1.15,,,,,,,,,,
1711,0.856,,,,,,,,,,
1712,1.088,,,,,,,,,,
1713,1.098,,,,,,,,,,
1714,1.083,,,,,,,,,,
1715,0.908,,,,,,,,,,
1716,1.05,,,,,,,,,,
1717,1.134,,,,,,,,,,
1718,1.064,,,,,,,,,,
1719,0.903,,,,,,,,,,
1720,0.859,,,,,,,,,,
1721,1.082,,,,,,,,,,
1722,0.925,,,,,,,,,,
1723,0.822,,,,,,,,,,
1724,1.26,,,,,,,,,,
1725,1.067,,,,,,,,,,
1726,1.075,,,,,,,,,,
1727,1.026,,,,,,,,,,
1728,1.042,,,,,,,,,,
1729,1.058,,,,,,,,,,
1730,1.05,,,,,,,,,,
1731,0.949,,,,,,,,,,
1732,0.78,,,,,,,,,,
1733,0.825,,,,,,,,,,
1734,0.925,,,,,,,,,,
1735,0.952,,,,,,,,,,
1736,0.921,,,,,,,,,,
1737,0.908,,,,,,,,,,
1738,0.962,,,,,,,,,,
1739,1.103,,,,,,,,,,
1740,0.876,,,,,,,,,,
1741,0.908,,,,,,,,,,
1742,1.086,,,,,,,,,,
1743,1.051,,,,,,,,,,
1744,0.97,,,,,,,,,,
1745,1.008,,,,,,,,,,
1746,0.72,,,,,,,,,,
1747,0.885,,,,,,,,,,
1748,1.012,,,,,,,,,,
1749,1.035,,,,,,,,,,
1750,1.202,,,,,,,,,,
1751,1.394,,,,,,,,,,
1752,0.969,,,,,,,,,,
1753,0.941,,,,,,,,,,
1754,0.831,,,,,,,,,,
1755,0.919,,,,,,,,,,
1756,1.202,,,,,,,,,,
1757,1.214,,,,,,,,,,
1758,1.004,,,,,,,,,,
1759,1.091,,,,,,,,,,
1760,1.11,,,,,,,,,,
1761,0.939,,,,,,,,,,
1762,1.083,,,,,,,,,,
1763,1.043,,,,,,,,,,
1764,0.957,,,,,,,,,,
1765,0.924,,,,,,,,,,
1766,0.853,,,,,,,,,,
1767,0.99,,,,,,,,,,
1768,1.045,,,,,,,,,,
1769,0.811,,,,,,,,,,
1770,0.861,,,,,,,,,,
1771,0.973,,,,,,,,,,
1772,0.977,,,,,,,,,,
1773,1.11,,,,,,,,,,
1774,1.075,,,,,,,,,,
1775,0.904,,,,,,,,,,
1776,0.987,,,,,,,,,,
1777,0.913,,,,,,,,,,
1778,0.968,,,,,,,,,,
1779,0.779,,,,,,,,,,
1780,0.981,,,,,,,,,,
1781,0.996,,,,,,,,,,
1782,0.833,,,,,,,,,,
1783,0.826,,,,,,,,,,
1784,1.088,,,,,,,,,,
1785,1.075,,,,,,,,,,
1786,1.078,,,,,,,,,,
1787,0.88,,,,,,,,,,
1788,1.001,,,,,,,,,,
1789,0.946,,,,,,,,,,
1790,1.076,,,,,,,,,,
1791,0.879,,,,,,,,,,
1792,0.906,,,,,,,,,,
1793,0.813,,,,,,,,,,
1794,1.004,,,,,,,,,,
1795,1.071,,,,,,,,,,
1796,1.001,,,,,,,,,,
1797,0.79,,,,,,,,,,
1798,1,,,,,,,,,,
1799,0.917,,,,,,,,,,
1800,0.959,,,,,,,,,,
1801,1.053,,,,,,,,,,
1802,1.03,,,,,,,,,,
1803,0.894,,,,,,,,,,
1804,1.27,,,,,,,,,,
1805,1.053,,,,,,,,,,
1806,0.907,,,,,,,,,,
1807,1.01,,,,,,,,,,
1808,1.067,,,,,,,,,,
1809,0.712,,,,,,,,,,
1810,0.842,,,,,,,,,,
1811,1.082,,,,,,,,,,
1812,1.051,,,,,,,,,,
1813,0.981,,,,,,,,,,
1814,0.912,,,,,,,,,,
1815,1.087,,,,,,,,,,
1816,1.09,,,,,,,,,,
1817,1.091,,,,,,,,,,
